Time,Hum,Temp
00:00,54,23
00:01,54,23
00:02,54,23
00:03,54,23
00:04,54,23
00:05,54,23
00:06,54,23
00:07,54,23
00:08,54,23
00:09,54,23
00:10,53,23
00:11,53,23
00:12,53,23
00:13,54,23
00:14,53,23
00:15,53,23
00:16,53,23
00:17,53,23
00:18,53,23
00:19,53,23
00:20,53,23
00:21,53,23
00:22,53,23
00:23,53,23
00:24,53,23
00:25,53,23
00:26,53,23
00:27,53,23
00:28,53,23
00:29,53,23
00:30,53,23
00:31,53,23
00:32,53,23
00:33,53,23
00:34,53,23
00:35,53,23
00:36,53,23
00:37,53,23
00:38,53,23
00:39,53,23
00:40,53,23
00:41,53,23
00:42,52,23
00:43,53,23
00:44,53,23
00:45,53,23
00:46,52,23
00:47,52,23
00:48,52,23
00:49,52,23
00:50,52,23
00:51,52,23
00:52,52,23
00:53,52,23
00:54,52,23
00:55,52,23
00:56,52,23
00:57,52,23
00:58,52,23
00:59,52,23
01:00,52,23
01:01,52,23
01:02,52,23
01:03,52,23
01:04,52,23
01:05,52,23
01:06,52,23
01:07,52,23
01:08,52,23
01:09,52,23
01:10,52,23
01:11,52,23
01:12,52,23
01:13,52,23
01:14,52,23
01:15,52,23
01:16,52,23
01:17,52,23
01:18,52,23
01:19,52,23
01:20,52,23
01:21,52,23
01:22,52,23
01:23,52,23
01:24,52,23
01:25,52,23
01:26,52,23
01:27,52,23
01:28,52,23
01:29,52,23
01:30,52,23
01:31,52,23
01:32,52,23
01:33,52,23
01:34,52,23
01:35,52,23
01:36,51,23
01:37,51,23
01:38,51,23
01:39,51,23
01:40,51,23
01:41,51,23
01:42,51,23
01:43,51,23
01:44,51,23
01:45,51,23
01:46,51,23
01:47,51,23
01:48,51,23
01:49,51,23
01:50,51,23
01:51,51,23
01:52,51,22
01:53,51,23
01:54,51,22
01:55,51,22
01:56,51,22
01:57,51,22
01:58,51,22
01:59,51,22
02:00,51,22
02:01,51,22
02:02,51,22
02:03,51,22
02:04,51,22
02:05,51,22
02:06,51,22
02:07,51,22
02:08,51,22
02:09,51,22
02:10,51,22
02:11,51,22
02:12,51,22
02:13,51,22
02:14,51,22
02:15,51,22
02:16,51,22
02:17,51,22
02:18,51,22
02:19,51,22
02:20,51,22
02:21,51,22
02:22,51,22
02:23,51,22
02:24,51,22
02:25,51,22
02:26,51,22
02:27,51,22
02:28,51,22
02:29,51,22
02:30,51,22
02:31,51,22
02:32,51,22
02:33,51,22
02:34,51,22
02:35,51,22
02:36,51,22
02:37,51,22
02:38,51,22
02:39,51,22
02:40,51,22
02:41,51,22
02:42,51,22
02:43,51,22
02:44,51,22
02:45,51,22
02:46,51,22
02:47,51,22
02:48,51,22
02:49,51,22
02:50,51,22
